system,technique,question,valida,rouge1,rouge2,rougeL,recall@1,recall@3,recall@5
base,zero-shot,What does ISO 3382-1 specify?,True,0.38655462184873945,0.10256410256410256,0.2521008403361345,,,
base,zero-shot,"What background noise criterion does ISO 3744 impose, and how is the correction K1 applied?",True,0.3834586466165414,0.07575757575757575,0.21804511278195488,,,
base,zero-shot,What does ISO 1996-2 require regarding acoustic calibration?,True,0.31007751937984496,0.06299212598425197,0.15503875968992248,,,
base,zero-shot,"Which physical effects are included in the ISO 9613-2 algorithms, and in which frequency bands do they work?",True,0.2297872340425532,0.042918454935622324,0.1446808510638298,,,
base,zero-shot,"What does ISO 3745 specify, and how does its accuracy compare with ISO 3744 and ISO 3746?",True,0.39426523297491034,0.09386281588447654,0.22939068100358423,,,
base,zero-shot,"According to ISO 9613-1, how should users obtain attenuation coefficients for conditions that are not listed in Table 1?",True,0.3090909090909091,0.07339449541284404,0.22727272727272727,,,
base,zero-shot,"What does ISO 10140-5 cover, and what qualification does it require of a test facility?",True,0.2947368421052632,0.08480565371024734,0.20350877192982456,,,
base,zero-shot,"What does ISO 16032 measure, and which quantity is reported?",True,0.25806451612903225,0.046511627906976744,0.18433179723502302,,,
base,zero-shot,How does CNOSSOS-EU represent a vehicle and a traffic flow geometrically?,True,0.3694779116465864,0.048582995951417005,0.1686746987951807,,,
base,zero-shot,What is the scope of ISO 16283-1 in terms of room volume and frequency range?,True,0.4235294117647058,0.10714285714285714,0.2823529411764706,,,
base,zero-shot,"How does ISO 9612 define the daily noise exposure level LEX,8h?",True,0.3783783783783784,0.06557377049180327,0.2162162162162162,,,
base,zero-shot,Which reference time intervals does BS 4142 prescribe for day and night?,True,0.32000000000000006,0.09459459459459459,0.24,,,
base,zero-shot,"What does ISO 354 specify, and what requirements apply to the reverberation room?",True,0.4076433121019108,0.1346153846153846,0.267515923566879,,,
base,zero-shot,Which noise descriptor does ISO 1996-3 prefer for specifying noise limits?,True,0.3361344537815126,0.10256410256410256,0.23529411764705885,,,
base,zero-shot,"What does ISO 16283-2 specify, and which impact sources does it describe?",True,0.27807486631016043,0.043243243243243246,0.18181818181818182,,,
base,zero-shot,What does ISO 3382-1 say about deriving decay curves from non-continuous excitation?,True,0.2007434944237918,0.05243445692883896,0.15613382899628253,,,
base,zero-shot,What are the stated limitations of the ISO 4869-3 method?,True,0.2666666666666667,0.039525691699604744,0.16470588235294117,,,
base,zero-shot,What instrumentation does ISO 1996-2 require for environmental noise measurements?,True,0.3179916317991632,0.05063291139240507,0.16736401673640167,,,
base,zero-shot,What general form does the CNOSSOS-EU sound power equation take as a function of vehicle speed?,True,0.3451776649746193,0.14358974358974358,0.233502538071066,,,
base,zero-shot,"What is the frequency range of interest in ISO 3746, and what does the reference box enclose?",True,0.29197080291970806,0.11851851851851851,0.24817518248175185,,,
base,few-shot,What does ISO 3382-1 specify?,True,0.3076923076923077,0.11235955056179775,0.2637362637362637,,,
base,few-shot,"What background noise criterion does ISO 3744 impose, and how is the correction K1 applied?",True,0.3983050847457627,0.0683760683760684,0.21186440677966104,,,
base,few-shot,What does ISO 1996-2 require regarding acoustic calibration?,True,0.3636363636363637,0.05333333333333332,0.18181818181818185,,,
base,few-shot,"Which physical effects are included in the ISO 9613-2 algorithms, and in which frequency bands do they work?",True,0.15450643776824036,0.0,0.11158798283261802,,,
base,few-shot,"What does ISO 3745 specify, and how does its accuracy compare with ISO 3744 and ISO 3746?",True,0.35211267605633806,0.09929078014184396,0.19014084507042253,,,
base,few-shot,"According to ISO 9613-1, how should users obtain attenuation coefficients for conditions that are not listed in Table 1?",True,0.4025157232704402,0.11464968152866241,0.23899371069182393,,,
base,few-shot,"What does ISO 10140-5 cover, and what qualification does it require of a test facility?",True,0.35374149659863946,0.09655172413793105,0.2585034013605442,,,
base,few-shot,"What does ISO 16032 measure, and which quantity is reported?",True,0.13903743315508021,0.021621621621621623,0.11764705882352942,,,
base,few-shot,How does CNOSSOS-EU represent a vehicle and a traffic flow geometrically?,True,0.14285714285714285,0.016129032258064516,0.12698412698412698,,,
base,few-shot,What is the scope of ISO 16283-1 in terms of room volume and frequency range?,True,0.2958579881656805,0.09580838323353293,0.20118343195266275,,,
base,few-shot,"How does ISO 9612 define the daily noise exposure level LEX,8h?",True,0.35443037974683544,0.07692307692307693,0.24050632911392403,,,
base,few-shot,Which reference time intervals does BS 4142 prescribe for day and night?,True,0.16981132075471697,0.07692307692307693,0.1509433962264151,,,
base,few-shot,"What does ISO 354 specify, and what requirements apply to the reverberation room?",True,0.3893805309734514,0.10089020771513353,0.22418879056047197,,,
base,few-shot,Which noise descriptor does ISO 1996-3 prefer for specifying noise limits?,True,0.21276595744680848,0.10869565217391304,0.14893617021276595,,,
base,few-shot,"What does ISO 16283-2 specify, and which impact sources does it describe?",True,0.37410071942446044,0.10218978102189781,0.23021582733812948,,,
base,few-shot,What does ISO 3382-1 say about deriving decay curves from non-continuous excitation?,True,0.17777777777777778,0.04545454545454545,0.08888888888888889,,,
base,few-shot,What are the stated limitations of the ISO 4869-3 method?,True,0.2910798122065728,0.03791469194312796,0.20657276995305163,,,
base,few-shot,What instrumentation does ISO 1996-2 require for environmental noise measurements?,True,0.23140495867768596,0.10084033613445377,0.1487603305785124,,,
base,few-shot,What general form does the CNOSSOS-EU sound power equation take as a function of vehicle speed?,True,0.2389937106918239,0.08917197452229299,0.1509433962264151,,,
base,few-shot,"What is the frequency range of interest in ISO 3746, and what does the reference box enclose?",True,0.28571428571428564,0.11965811965811968,0.25210084033613445,,,
base,chain-of-thought,What does ISO 3382-1 specify?,True,0.24324324324324326,0.08333333333333333,0.24324324324324326,,,
base,chain-of-thought,"What background noise criterion does ISO 3744 impose, and how is the correction K1 applied?",True,0.24705882352941178,0.10714285714285715,0.18823529411764706,,,
base,chain-of-thought,What does ISO 1996-2 require regarding acoustic calibration?,True,0.3291139240506329,0.025974025974025972,0.1518987341772152,,,
base,chain-of-thought,"Which physical effects are included in the ISO 9613-2 algorithms, and in which frequency bands do they work?",True,0.2429906542056075,0.0,0.11214953271028037,,,
base,chain-of-thought,"What does ISO 3745 specify, and how does its accuracy compare with ISO 3744 and ISO 3746?",True,0.3055555555555555,0.11267605633802816,0.25,,,
base,chain-of-thought,"According to ISO 9613-1, how should users obtain attenuation coefficients for conditions that are not listed in Table 1?",True,0.3883495145631068,0.09900990099009901,0.17475728155339806,,,
